year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,3556792,4309087,69343368,66751651,653248,15.458,487051,11.525,14661850,5186329,9475521,7.770,21.965,9481403,4064364,5417039,6.089,14.204,5180447,7.761,28.408,327133,332430,1825561
1979,3669291,4448833,73334025,71221069,625171,14.340,446657,10.245,13877812,4846585,9031227,6.805,19.486,9647576,3628922,6018654,5.095,13.546,4230236,5.940,27.092,299501,304149,1674881
1980,3680090,4490716,73753303,73559310,581431,13.068,498221,11.198,12088588,4636595,7451993,6.303,16.434,11692752,3746094,7946658,5.093,15.896,395836,0.538,31.791,346328,352230,1918265
1981,3731587,4573076,74381166,73983265,576302,12.776,451584,10.011,11952898,4663739,7289159,6.304,16.156,11148852,3296935,7851917,4.456,15.069,804046,1.087,30.139,296080,302652,1546778
1982,3719903,4596342,74692330,74463460,598866,13.130,528277,11.582,12666062,5227062,7439000,7.020,17.010,12205806,3729605,8476201,5.009,16.392,460256,0.618,32.783,364758,371526,1921834
1983,3828456,4711790,73798206,73809337,623264,13.498,434670,9.414,12507223,4875288,7631935,6.605,16.945,12523836,3520283,9003553,4.769,16.968,-16613,-0.023,33.891,293386,300161,1740711
1984,3995645,4900675,78684102,76001425,697997,14.619,445548,9.332,15033247,5410576,9622671,7.119,19.780,9659920,3168837,6491083,4.169,12.710,5373327,7.070,25.420,319134,325241,1750690
1985,4069600,4986024,81629041,79738731,690958,14.091,526209,10.731,15382934,5747731,9635203,7.208,19.292,11611272,4344649,7266623,5.449,14.562,3771662,4.730,29.123,378194,386442,2423066
1986,4122471,5069302,83424543,82062357,693921,13.930,518027,10.399,15163651,5854634,9309017,7.134,18.478,12439080,4102172,8336908,4.999,15.158,2724571,3.320,30.316,366723,373967,2229917
1987,4186233,5172999,85343294,84477456,735080,14.461,555330,10.925,16339541,6644136,9695405,7.865,19.342,14607294,4899599,9707695,5.800,17.291,1732247,2.051,34.583,382838,390594,2490647
1988,4309957,5361852,88361935,86910598,745787,14.178,542630,10.316,16503488,6446218,10057270,7.417,18.989,13611143,4767647,8843496,5.486,15.661,2892345,3.328,31.322,380178,389540,2505930
1989,4384502,5477512,91425097,89635489,729028,13.538,543841,10.099,16460156,6156873,10303283,6.869,18.363,12903655,4526931,8376724,5.050,14.396,3556501,3.968,28.791,387018,398749,2499662
1990,4448864,5575023,93775686,92447509,704312,12.817,544967,9.917,15637207,5712846,9924361,6.180,16.915,12979327,4217126,8762201,4.562,14.040,2657880,2.875,28.079,396782,407908,2522475
1991,4416359,5609129,91546954,92394964,693553,12.482,588163,10.585,14139606,5764477,8375129,6.239,15.303,15849131,5097262,10751869,5.517,17.154,-1709525,-1.850,30.607,416808,429067,3132666
1992,4421175,5624107,91835255,91438284,655099,11.740,566552,10.154,14956131,5357813,9598318,5.859,16.357,14158321,4542360,9615961,4.968,15.484,797810,0.873,30.968,376513,386975,2439402
1993,4498560,5687666,93346013,92573476,657017,11.635,575585,10.193,15139718,5107717,10032001,5.517,16.354,13613998,4703662,8910336,5.081,14.706,1525720,1.648,29.412,377056,389300,2326379
1994,4581753,5800967,95863051,94739165,688672,11.993,570945,9.943,15508468,5594873,9913595,5.906,16.370,13255126,4735442,8519684,4.998,13.991,2253342,2.378,27.982,390650,402910,2613354
1995,4679786,5930378,99243906,97477536,710582,12.132,564375,9.635,16239364,5900570,10338794,6.053,16.660,12695852,4438037,8257815,4.553,13.024,3543512,3.635,26.049,389411,402769,2491890
1996,4727251,6003496,100010529,99206833,703152,11.824,589468,9.913,15763332,5796826,9966506,5.843,15.889,14166159,4873475,9292684,4.912,14.279,1597173,1.610,28.559,406173,419116,2606510
1997,4781344,6080240,103190328,101747252,740676,12.276,647650,10.734,18342577,6641549,11701028,6.527,18.028,15436380,5745590,9690790,5.647,15.171,2906197,2.856,30.343,422933,437998,2881271
1998,4856029,6183518,107541216,105929648,706729,11.524,604907,9.864,18154041,6344179,11809862,5.989,17.138,14901604,5271775,9629829,4.977,14.067,3252437,3.070,28.135,389103,402157,2461552
1999,4884135,6246924,109815409,108717792,694725,11.195,611957,9.861,17847077,6273462,11573615,5.770,16.416,15647018,5612235,10034783,5.162,14.392,2200059,2.024,28.785,396981,412784,2711867
2000,4904472,6294153,113244045,111610836,685677,10.950,621138,9.919,18881558,6430757,12450801,5.762,16.917,15618356,5821873,9796483,5.216,13.994,3263202,2.924,27.987,392418,408768,2557202
2001,4915673,6339105,114005181,113561918,699306,11.089,633249,10.042,17925138,6487625,11437513,5.713,15.784,17056762,5820825,11235937,5.126,15.020,868376,0.765,30.040,396002,411976,2693710
